Field Name,Type,Required,Purpose,Example Value,Description,Format Notes,Comments
visitId,String,Yes,Uniquely identify each visit in the system,visit_001,Unique visit identifier,Any string format,Can use external ID from eCare. Must be unique within organization
parentId,String,Optional,Link daily visit to its movable visit template (parent template ID),template_001,Parent template identifier linking visit to movable visit template,Any string format,Must match movableVisitTemplateId from movable-visits-data-template.csv. Enables system to sync individual daily visits with their parent templates
clientId,String,Yes,"Link visit to specific client, can use external ID from eCare",client_001,Client identifier (can be external ID from eCare),Any string format,External ID supported. System will match or create new client
clientName,String,Recommended,Display client name in UI and match visits to clients,Anna Andersson,Client name (for matching and display),Full name format,Used for display and matching during import
visitDate,Date (YYYY-MM-DD),Yes,Specify which day the visit occurs,2025-03-24,Date of the visit,YYYY-MM-DD,Required for schedule creation
serviceDuration,ISO 8601 duration,Yes,Specify how long the service takes to complete,PT30M,"Service duration (e.g., PT30M, PT1H30M)",ISO 8601 duration format,Examples: PT30M (30 min), PT1H30M (1.5 hours), PT45M (45 min)
originalStartTime,ISO 8601 datetime,Conditional,Original/requested start time - used with flexibilityMinutes to create time window,2025-03-24T08:00:00.000Z,Original/requested start time (use with flexibilityMinutes),ISO 8601 datetime with timezone,Used with flexibilityMinutes to calculate minStartTime/maxStartTime/maxEndTime. User-friendly approach
flexibilityMinutes,Integer,Conditional,"Flexibility window around originalStartTime (e.g., 60 = ±30 minutes)",60,"Flexibility window in minutes (e.g., 60 = ±30 minutes)",Integer (minutes),60 = ±30 minutes flexibility. Used with originalStartTime to calculate DB time windows
preferredFlexibilityMinutes,Integer,Optional,Preferred flexibility window - soft constraint for optimization (used with originalStartTime to create preferredTimeWindows),30,Preferred flexibility window in minutes. Used with originalStartTime to create preferredTimeWindows (Timefold soft constraint for waiting time reduction),Integer (minutes),30 = ±15 minutes preferred. Creates preferredTimeWindows jsonb array for Timefold
skills,Comma-separated string,Recommended,Specify required skills/competencies for the visit to match with employee skills,"Dusch,Medicinering","Required skills (e.g., 'Dusch,Medicinering')",Comma-separated list,Multiple skills separated by commas. Matched against employee_skills table
serviceAreas,Comma-separated string,Recommended,Tag visit with service area(s) for location-based optimization and filtering,"Farsta,Tallkrogen","Service area tags (e.g., 'Farsta,Tallkrogen')",Comma-separated list,Multiple areas allowed in CSV. DB uses single FK (first area used). Additional areas via visit_tags
serviceAreaOfficeLocation,"String (lat,lng)",Recommended,Office location used as start/end point for all employee routes in this service area,"59.254417,18.081677","Office location coordinates (e.g., '59.254417,18.081677')",Latitude,longitude (decimal),Office/depot location for route optimization start/end points
priority,String (1-10),Recommended,Prioritize visits during capacity constraints (1 = highest priority),5,"Visit priority (1 = highest, 10 = lowest)",String "1" to "10",Will be converted to enum: 1-3=urgent, 4-6=high, 7-8=normal, 9-10=low
mandatory,Boolean (TRUE/FALSE),Optional,Indicate if visit must be scheduled (TRUE) or can be skipped if capacity insufficient (FALSE),true,Whether visit is mandatory (TRUE) or optional (FALSE). Business logic: Visits with longer time window (weekly) than schedule planning window (daily) are mandatory in Timefold,TRUE or FALSE,Reference field. Business logic determines Timefold mandatory: weekly visits in daily schedules are mandatory
visitStatus,String,Recommended,Visit lifecycle status - affects UI color coding and filtering,planned,"Status: 'planned', 'cancelled', 'completed', 'missed'",Enum string,Values: planned, cancelled, completed, missed. Affects UI color coding
